I210911 19:13:00.264643 1 util/log/file_sync_buffer.go:238 ⋮ [config]   file created at: 2021/09/11 19:13:00
I210911 19:13:00.264650 1 util/log/file_sync_buffer.go:238 ⋮ [config]   running on machine: ‹localhost›
I210911 19:13:00.264658 1 util/log/file_sync_buffer.go:238 ⋮ [config]   binary: CockroachDB CCL v21.1.7 (x86_64-unknown-linux-gnu, built 2021/08/09 17:55:28, go1.15.14)
I210911 19:13:00.264665 1 util/log/file_sync_buffer.go:238 ⋮ [config]   arguments: ‹[cockroach start --certs-dir=certs --store=node3 --listen-addr=localhost:26259 --http-addr=localhost:8082 --join=localhost:26257,localhost:26258,localhost:26259]›
I210911 19:13:00.264675 1 util/log/file_sync_buffer.go:238 ⋮ [config]   log format (utf8=✓): crdb-v2
I210911 19:13:00.264682 1 util/log/file_sync_buffer.go:238 ⋮ [config]   line format: [IWEF]yymmdd hh:mm:ss.uuuuuu goid [chan@]file:line redactionmark \[tags\] [counter] msg
I210911 19:13:00.264580 1 server/status/recorder.go:629 ⋮ [-] 1  ‹available memory from cgroups is unsupported, using system memory 987 MiB instead: can't read available memory from cgroup v2 at /sys/fs/cgroup/unified/user.slice/user-0.slice/session-117.scope/memory.max: open /sys/fs/cgroup/unified/user.slice/user-0.slice/session-117.scope/memory.max: no such file or directory›
W210911 19:13:00.264729 1 1@cli/start.go:976 ⋮ [-] 2  ‹Using the default setting for --cache (128 MiB).›
W210911 19:13:00.264729 1 1@cli/start.go:976 ⋮ [-] 2 +‹  A significantly larger value is usually needed for good performance.›
W210911 19:13:00.264729 1 1@cli/start.go:976 ⋮ [-] 2 +‹  If you have a dedicated server a reasonable setting is --cache=.25 (247 MiB).›
I210911 19:13:00.264915 1 server/status/recorder.go:629 ⋮ [-] 3  ‹available memory from cgroups is unsupported, using system memory 987 MiB instead: can't read available memory from cgroup v2 at /sys/fs/cgroup/unified/user.slice/user-0.slice/session-117.scope/memory.max: open /sys/fs/cgroup/unified/user.slice/user-0.slice/session-117.scope/memory.max: no such file or directory›
I210911 19:13:00.264929 1 1@cli/start.go:1049 ⋮ [-] 4  ‹CockroachDB CCL v21.1.7 (x86_64-unknown-linux-gnu, built 2021/08/09 17:55:28, go1.15.14)›
